geoid,STATE_FIPS,CD,Geographic Name,Geographic Subtype,Total,RANKD,RANKR,RANKI,Democratic,Republican,Independent,Libertarian,Green,Constitution,CA Democratic,CA Republican,Unity,Write-ins,Independent American,Conservative,Working Families,Working Class,State1,State2,State3,State4,State5,State6,State7,State8
101,1,1,District 1,Congressional District,167226,0,1,0,0,139854,0,26197,0,0,0,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0
102,1,2,District 2,Congressional District,198464,2,1,0,57800,137193,0,3380,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0
103,1,3,District 3,Congressional District,190071,2,1,3,47770,135448,3826,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,4,District 4,Congressional District,195373,2,1,0,26628,164371,0,4294,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
105,1,5,District 5,Congressional District,211562,2,1,0,62466,141988,0,6740,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0
106,1,6,District 6,Congressional District,183985,0,1,0,0,154058,0,27792,0,0,0,0,0,2135,0,0,0,0,0,0,0,0,0,0,0,0
107,1,7,District 7,Congressional District,193699,1,2,0,123060,67353,0,3207,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0
201,2,1,At Large,Congressional District,261626,1,2,0,127364,67485,0,4521,0,0,0,61179,0,1077,0,0,0,0,0,0,0,0,0,0,0,0
401,4,1,District 1,Congressional District,360217,2,1,0,178544,181673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,4,2,District 2,Congressional District,322907,2,1,0,148862,174045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,4,3,District 3,Congressional District,140374,1,2,0,108055,32319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,4,4,District 4,Congressional District,264188,1,2,0,148302,115886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,4,5,District 5,Congressional District,320609,2,1,3,119872,181961,18776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,4,6,District 6,Congressional District,348301,2,1,0,171592,176709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,4,7,District 7,Congressional District,195113,1,2,0,125959,69154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,4,8,District 8,Congressional District,196943,0,1,0,0,196943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,4,9,District 9,Congressional District,192453,0,1,0,0,192453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,5,1,District 1,Congressional District,202960,2,1,0,51997,150963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,5,2,District 2,Congressional District,245817,2,1,0,86553,147700,0,11564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,5,3,District 3,Congressional District,222859,2,1,0,73248,141985,0,7626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,5,4,District 4,Congressional District,216402,2,1,0,56644,153671,0,6087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,6,1,District 1,Congressional District,241364,2,1,0,91605,149759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,6,2,District 2,Congressional District,266640,1,2,0,200519,66121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
