FIPS,state,Geographic Subtype,Total Vote,Democratic,Republican,Independent,Libertarian,Green,Constitution,CA Democratic,CA Republican,Unity,Write-ins,Independent American,Conservative,Working Families,Working Class,State1,State2,State3,State4,State5,State6,State7,State8
1,Alabama,State,1340380,317724,940265,3826,74637,0,0,0,0,0,3928,0,0,0,0,0,0,0,0,0,0,0,0
2,Alaska,State,261626,127364,67485,0,4521,0,0,0,61179,0,1077,0,0,0,0,0,0,0,0,0,0,0,0
4,Arizona,State,2341105,1001186,1321143,18776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Arkansas,State,888038,268442,594319,0,25277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,California,State,10054091,6013267,3585204,0,0,52322,0,403298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Colorado,State,2471711,1365419,1050957,0,34235,0,14428,0,0,3796,0,0,0,0,0,2876,0,0,0,0,0,0,0
9,Connecticut,State,1258900,719949,525529,4056,2117,7249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Delaware,State,321649,178416,138201,1958,3074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Florida,State,7331230,2904924,4270972,70564,80347,0,0,0,0,0,0,0,0,0,0,4406,17,0,0,0,0,0,0
13,Georgia,State,3907906,1863837,2044069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hawaii,State,399133,270737,123288,0,5108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,583616,180996,395340,0,7280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Illinois,State,3842358,2140644,1692544,4078,0,0,0,0,0,0,737,0,0,0,4355,0,0,0,0,0,0,0,0
18,Indiana,State,1849901,715354,1102740,9354,22408,32,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
19,Iowa,State,1211700,526460,677857,0,0,0,0,0,0,0,1348,0,0,0,0,6035,0,0,0,0,0,0,0
