state,UnempQ4,,,
Alabama,2.6,,,
Alaska,4.4,,,
Arizona,3.7,,,
Arkansas,3.5,,,
California,3.9,,,
Colorado,3.4,,,
Connecticut,4,,,
Delaware,4.3,,,
D.C.,4.7,,,
Florida,2.5,,,
Georgia,2.8,,,
Hawaii,3.5,,,
Idaho,2.8,,,
Illinois,4.5,,,
Indiana,2.8,,,
Iowa,2.7,,,
Kansas,2.6,,,
Kentucky,3.8,,,
Louisiana,3.4,,,
Maine,3.3,,,
Maryland,4,,,
Massachusetts,3.4,,,
Michigan,4.1,,,
Minnesota,2,,,
Mississippi,3.6,,,
Missouri,2.4,,,
Montana,2.9,,,
Nebraska,2.2,,,
Nevada,4.4,,,
New Hampshire,2.2,,,
New Jersey,3.3,,,
New Mexico,4.2,,,
New York,4.3,,,
North Carolina,3.6,,,
North Dakota,2.2,,,
Ohio,4,,,
Oklahoma,3.2,,,
Oregon,3.8,,,
Pennsylvania,4.1,,,
Rhode Island,3.1,,,
South Carolina,3.2,,,
South Dakota,2.3,,,
Tennessee,3.4,,,
Texas,4,,,
Utah,2.1,,,
Vermont,2.1,,,
Virginia,3.6,,,
Washington,3.7,,,
West Virginia,4,,,
Wisconsin,3.2,,,
Wyoming,3.3,,,
